Timestamp,Last,Volume,Bid,Ask,Spread,BidPrice1,BidQty1,BidPrice2,BidQty2,BidPrice3,BidQty3,BidPrice4,BidQty4,BidPrice5,BidQty5,BidPrice6,BidQty6,BidPrice7,BidQty7,BidPrice8,BidQty8,BidPrice9,BidQty9,BidPrice10,BidQty10,AskPrice1,AskQty1,AskPrice2,AskQty2,AskPrice3,AskQty3,AskPrice4,AskQty4,AskPrice5,AskQty5,AskPrice6,AskQty6,AskPrice7,AskQty7,AskPrice8,AskQty8,AskPrice9,AskQty9,AskPrice10,AskQty10,Aggressor,CurBarBuyVol,CurBarSellVol,CurBarTotalVol,CurBarDelta,CurBarMaxSeen,CurBarMinSeen,CurBarRange,CurBarBodyPct,CurBarOpen,CurBarHigh,CurBarLow,CurBarClose,PrevBarBuyVol,PrevBarSellVol,PrevBarTotalVol,PrevBarDelta,PrevBarMaxSeen,PrevBarMinSeen,PrevBarRange,PrevBarBodyPct,PrevBar30sAggDelta,PrevBar30sTradeCount,PrevBarAbsorbRatio,IntraAbsorbRatio,CumDelta5Bars,CumDelta10Bars,HTFEmaValue,HTFEmaSlope,HTFEmaDir,H2_HourlyVolBaseline,H2_PrevBarVolMultiple,ATRValue
20260902 220727 452,4436.10,1,4435.80,4436.10,0.30,4435.80,1,4435.70,3,4435.60,4,4435.50,4,4435.40,8,4435.30,10,4435.20,7,4435.10,9,4435.00,11,4434.90,8,4436.10,3,4436.20,3,4436.30,4,4436.40,5,4436.50,5,4436.60,3,4436.70,2,4436.80,10,4436.90,6,4437.00,10,Buy,12,4,16,8.00,8.00,1.00,0.40,0.0,4436.10,4436.30,4435.90,4436.10,86,36,122,50.00,50.00,-5.00,2.00,50.0,0,0,0.0000,0.0000,48.00,133.00,4425.96,1.0792,UP,83.80,1.4558,1.3704
20260902 220729 710,4436.10,1,4435.80,4436.10,0.30,4435.80,2,4435.70,3,4435.60,4,4435.50,4,4435.40,8,4435.30,10,4435.20,7,4435.10,9,4435.00,11,4434.90,8,4436.10,2,4436.20,5,4436.30,4,4436.40,3,4436.50,6,4436.60,3,4436.70,2,4436.80,10,4436.90,6,4437.00,10,Buy,13,4,17,9.00,9.00,1.00,0.40,0.0,4436.10,4436.30,4435.90,4436.10,86,36,122,50.00,50.00,-5.00,2.00,50.0,0,0,0.0000,0.0000,49.00,134.00,4425.96,1.0792,UP,83.80,1.4558,1.3704
20260902 220730 304,4435.80,1,4435.80,4436.10,0.30,4435.80,2,4435.70,4,4435.60,4,4435.50,3,4435.40,3,4435.30,10,4435.20,7,4435.10,9,4435.00,11,4434.90,8,4436.10,1,4436.20,6,4436.30,4,4436.40,5,4436.50,6,4436.60,8,4436.70,7,4436.80,10,4436.90,6,4437.00,10,Sell,13,5,18,8.00,9.00,1.00,0.50,60.0,4436.10,4436.30,4435.80,4435.80,86,36,122,50.00,50.00,-5.00,2.00,50.0,0,0,0.0000,0.1250,48.00,133.00,4425.93,1.0697,UP,83.80,1.4558,1.3775
20260902 220730 304,4435.80,1,4435.80,4436.10,0.30,4435.80,2,4435.70,4,4435.60,4,4435.50,3,4435.40,3,4435.30,10,4435.20,7,4435.10,9,4435.00,11,4434.90,8,4436.10,1,4436.20,6,4436.30,4,4436.40,5,4436.50,6,4436.60,8,4436.70,7,4436.80,10,4436.90,6,4437.00,10,Sell,13,6,19,7.00,9.00,1.00,0.50,60.0,4436.10,4436.30,4435.80,4435.80,86,36,122,50.00,50.00,-5.00,2.00,50.0,0,0,0.0000,0.2857,47.00,132.00,4425.93,1.0697,UP,83.80,1.4558,1.3775
20260902 220732 814,4436.10,1,4435.80,4436.10,0.30,4435.80,2,4435.70,4,4435.60,4,4435.50,3,4435.40,3,4435.30,10,4435.20,7,4435.10,9,4435.00,11,4434.90,8,4436.10,2,4436.20,4,4436.30,4,4436.40,5,4436.50,6,4436.60,8,4436.70,7,4436.80,10,4436.90,6,4437.00,10,Buy,14,6,20,8.00,9.00,1.00,0.50,0.0,4436.10,4436.30,4435.80,4436.10,86,36,122,50.00,50.00,-5.00,2.00,50.0,0,0,0.0000,0.1250,48.00,133.00,4425.96,1.0792,UP,83.80,1.4558,1.3775
20260902 220734 910,4435.90,1,4435.70,4436.00,0.30,4435.70,3,4435.60,3,4435.50,4,4435.40,3,4435.30,10,4435.20,7,4435.10,9,4435.00,11,4434.90,8,4434.80,13,4436.00,3,4436.10,4,4436.20,5,4436.30,4,4436.40,4,4436.50,6,4436.60,3,4436.70,2,4436.80,10,4436.90,6,Sell,14,7,21,7.00,9.00,1.00,0.50,40.0,4436.10,4436.30,4435.80,4435.90,86,36,122,50.00,50.00,-5.00,2.00,50.0,0,0,0.0000,0.2857,47.00,132.00,4425.94,1.0729,UP,83.80,1.4558,1.3775
20260902 220739 325,4435.80,1,4435.70,4436.00,0.30,4435.70,3,4435.60,3,4435.50,4,4435.40,3,4435.30,11,4435.20,7,4435.10,9,4435.00,11,4434.90,8,4434.80,13,4436.00,2,4436.10,2,4436.20,5,4436.30,4,4436.40,4,4436.50,6,4436.60,3,4436.70,2,4436.80,10,4436.90,6,Sell,14,8,22,6.00,9.00,1.00,0.50,60.0,4436.10,4436.30,4435.80,4435.80,86,36,122,50.00,50.00,-5.00,2.00,50.0,0,0,0.0000,0.5000,46.00,131.00,4425.93,1.0697,UP,83.80,1.4558,1.3775
20260902 220739 325,4435.70,1,4435.70,4436.00,0.30,4435.70,3,4435.60,3,4435.50,4,4435.40,3,4435.30,11,4435.20,7,4435.10,9,4435.00,11,4434.90,8,4434.80,13,4436.00,2,4436.10,2,4436.20,5,4436.30,4,4436.40,4,4436.50,6,4436.60,3,4436.70,2,4436.80,10,4436.90,6,Sell,14,9,23,5.00,9.00,1.00,0.60,66.7,4436.10,4436.30,4435.70,4435.70,86,36,122,50.00,50.00,-5.00,2.00,50.0,0,0,0.0000,0.8000,45.00,130.00,4425.92,1.0665,UP,83.80,1.4558,1.3846
20260902 220743 120,4435.70,1,4435.70,4436.00,0.30,4435.70,2,4435.60,3,4435.50,4,4435.40,3,4435.30,11,4435.20,7,4435.10,9,4435.00,11,4434.90,8,4434.80,13,4436.00,3,4436.10,3,4436.20,5,4436.30,3,4436.40,4,4436.50,6,4436.60,3,4436.70,2,4436.80,10,4436.90,6,Sell,14,10,24,4.00,9.00,1.00,0.60,66.7,4436.10,4436.30,4435.70,4435.70,86,36,122,50.00,50.00,-5.00,2.00,50.0,0,0,0.0000,1.2500,44.00,129.00,4425.92,1.0665,UP,83.80,1.4558,1.3846
20260902 220746 773,4435.70,1,4435.60,4436.00,0.40,4435.60,1,4435.50,4,4435.40,3,4435.30,11,4435.20,7,4435.10,9,4435.00,11,4434.90,8,4434.80,13,4434.70,6,4436.00,3,4436.10,3,4436.20,5,4436.30,3,4436.40,4,4436.50,6,4436.60,3,4436.70,2,4436.80,10,4436.90,6,Sell,14,11,25,3.00,9.00,1.00,0.60,66.7,4436.10,4436.30,4435.70,4435.70,86,36,122,50.00,50.00,-5.00,2.00,50.0,0,0,0.0000,2.0000,43.00,128.00,4425.92,1.0665,UP,83.80,1.4558,1.3846
