Timestamp,Last,Volume,Bid,Ask,Spread,BidPrice1,BidQty1,BidPrice2,BidQty2,BidPrice3,BidQty3,BidPrice4,BidQty4,BidPrice5,BidQty5,BidPrice6,BidQty6,BidPrice7,BidQty7,BidPrice8,BidQty8,BidPrice9,BidQty9,BidPrice10,BidQty10,AskPrice1,AskQty1,AskPrice2,AskQty2,AskPrice3,AskQty3,AskPrice4,AskQty4,AskPrice5,AskQty5,AskPrice6,AskQty6,AskPrice7,AskQty7,AskPrice8,AskQty8,AskPrice9,AskQty9,AskPrice10,AskQty10,Aggressor,CurBarBuyVol,CurBarSellVol,CurBarTotalVol,CurBarDelta,CurBarMaxSeen,CurBarMinSeen,CurBarRange,CurBarBodyPct,CurBarOpen,CurBarHigh,CurBarLow,CurBarClose,PrevBarBuyVol,PrevBarSellVol,PrevBarTotalVol,PrevBarDelta,PrevBarMaxSeen,PrevBarMinSeen,PrevBarRange,PrevBarBodyPct,PrevBar30sAggDelta,PrevBar30sTradeCount,PrevBarAbsorbRatio,IntraAbsorbRatio,CumDelta5Bars,CumDelta10Bars,HTFEmaValue,HTFEmaSlope,HTFEmaDir,H2_HourlyVolBaseline,H2_PrevBarVolMultiple,ATRValue
20260803 220000 375,4109.60,2,4111.00,4109.60,0.00,4111.00,1,4110.30,1,4109.60,2,4107.00,1,4106.50,1,4105.30,1,4105.00,1,4104.40,3,4103.90,1,4103.30,1,4109.60,2,4109.70,2,4112.00,2,4112.80,1,4113.30,2,4113.90,1,4114.80,1,4114.90,1,4115.00,3,4115.20,2,Buy,2,0,2,2.00,2.00,2.00,0.00,0.0,4109.60,4109.60,4109.60,4109.60,27,17,44,10.00,14.00,1.00,0.90,77.8,0,0,0.4000,0.0000,21.00,5.00,4103.15,0.9024,UP,102.00,0.4314,0.9476
20260803 220000 383,4109.70,1,4111.00,4109.60,0.00,4111.00,1,4110.30,1,4109.60,2,4107.00,1,4106.50,1,4105.30,1,4105.00,1,4104.40,3,4103.90,1,4103.30,1,4109.60,2,4109.70,2,4112.00,2,4112.80,1,4113.30,2,4113.90,1,4114.80,1,4114.90,1,4115.00,3,4115.20,2,Buy,3,0,3,3.00,3.00,2.00,0.10,100.0,4109.60,4109.70,4109.60,4109.70,27,17,44,10.00,14.00,1.00,0.90,77.8,0,0,0.4000,0.0000,22.00,6.00,4103.16,0.9055,UP,102.00,0.4314,0.9476
20260803 220000 510,4109.70,1,4109.60,4109.70,0.10,4109.60,2,4107.70,1,4107.00,1,4106.50,1,4106.40,7,4105.30,1,4105.00,1,4104.40,3,4103.90,1,4103.30,1,4109.70,1,4111.50,1,4112.00,2,4112.10,1,4112.80,1,4113.30,2,4113.90,1,4114.80,1,4114.90,1,4115.00,3,Buy,4,0,4,4.00,4.00,2.00,0.10,100.0,4109.60,4109.70,4109.60,4109.70,27,17,44,10.00,14.00,1.00,0.90,77.8,0,0,0.4000,0.0000,23.00,7.00,4103.16,0.9055,UP,102.00,0.4314,0.9476
20260803 220000 582,4109.60,1,4109.60,4110.50,0.90,4109.60,2,4107.70,1,4107.00,1,4106.50,1,4106.40,7,4106.00,10,4105.30,1,4105.00,1,4104.40,3,4104.00,10,4111.50,1,4112.00,12,4112.10,1,4112.80,1,4113.30,2,4113.90,1,4114.00,10,4114.80,1,4114.90,1,4115.00,3,Sell,4,1,5,3.00,4.00,2.00,0.10,0.0,4109.60,4109.70,4109.60,4109.60,27,17,44,10.00,14.00,1.00,0.90,77.8,0,0,0.4000,0.3333,22.00,6.00,4103.15,0.9024,UP,102.00,0.4314,0.9476
20260803 220000 582,4109.60,1,4109.60,4110.50,0.90,4109.60,2,4107.70,1,4107.00,1,4106.50,1,4106.40,7,4106.00,10,4105.30,1,4105.00,1,4104.40,3,4104.00,10,4111.50,1,4112.00,12,4112.10,1,4112.80,1,4113.30,2,4113.90,1,4114.00,10,4114.80,1,4114.90,1,4115.00,3,Sell,4,2,6,2.00,4.00,2.00,0.10,0.0,4109.60,4109.70,4109.60,4109.60,27,17,44,10.00,14.00,1.00,0.90,77.8,0,0,0.4000,1.0000,21.00,5.00,4103.15,0.9024,UP,102.00,0.4314,0.9476
20260803 220000 669,4110.10,1,4108.40,4109.80,1.40,4108.40,3,4108.30,1,4108.20,1,4108.10,1,4108.00,2,4107.90,1,4107.80,1,4107.70,2,4107.30,5,4107.20,5,4109.80,1,4109.90,1,4110.00,1,4110.10,1,4110.20,1,4110.30,1,4110.40,1,4110.50,1,4110.70,1,4111.10,5,Buy,5,2,7,3.00,4.00,2.00,0.50,100.0,4109.60,4110.10,4109.60,4110.10,27,17,44,10.00,14.00,1.00,0.90,77.8,0,0,0.4000,0.3333,22.00,6.00,4103.19,0.9182,UP,102.00,0.4314,0.9476
20260803 220000 709,4109.60,1,4108.40,4109.80,1.40,4108.40,3,4108.30,1,4108.20,1,4108.10,1,4108.00,2,4107.90,1,4107.80,1,4107.70,2,4107.30,5,4107.20,5,4109.80,1,4109.90,1,4110.00,1,4110.10,1,4110.20,1,4110.30,1,4110.40,1,4110.50,1,4110.70,1,4111.10,5,Sell,5,3,8,2.00,4.00,2.00,0.50,0.0,4109.60,4110.10,4109.60,4109.60,27,17,44,10.00,14.00,1.00,0.90,77.8,0,0,0.4000,1.0000,21.00,5.00,4103.15,0.9024,UP,102.00,0.4314,0.9476
20260803 220000 747,4109.90,1,4107.80,4109.70,1.90,4107.80,6,4107.70,5,4107.40,2,4107.30,3,4107.20,5,4107.10,5,4107.00,1,4106.90,5,4106.80,1,4106.50,1,4109.70,4,4109.80,1,4109.90,1,4110.00,1,4110.10,1,4110.20,1,4110.30,1,4110.40,1,4110.50,2,4110.70,1,Buy,6,3,9,3.00,4.00,2.00,0.50,60.0,4109.60,4110.10,4109.60,4109.90,27,17,44,10.00,14.00,1.00,0.90,77.8,0,0,0.4000,0.3333,22.00,6.00,4103.18,0.9119,UP,102.00,0.4314,0.9476
20260803 220000 749,4110.00,1,4107.80,4109.70,1.90,4107.80,6,4107.70,5,4107.40,2,4107.30,3,4107.20,5,4107.10,5,4107.00,1,4106.90,5,4106.80,1,4106.50,1,4109.70,4,4109.80,1,4109.90,1,4110.00,1,4110.10,1,4110.20,1,4110.30,1,4110.40,1,4110.50,2,4110.70,1,Buy,7,3,10,4.00,4.00,2.00,0.50,80.0,4109.60,4110.10,4109.60,4110.00,27,17,44,10.00,14.00,1.00,0.90,77.8,0,0,0.4000,0.0000,23.00,7.00,4103.18,0.9151,UP,102.00,0.4314,0.9476
20260803 220000 754,4108.60,1,4107.80,4109.70,1.90,4107.80,6,4107.70,5,4107.40,2,4107.30,3,4107.20,5,4107.10,5,4107.00,1,4106.90,5,4106.80,1,4106.50,1,4109.70,4,4109.80,1,4109.90,1,4110.00,1,4110.10,1,4110.20,1,4110.30,1,4110.40,1,4110.50,2,4110.70,1,Sell,7,4,11,3.00,4.00,2.00,1.50,66.7,4109.60,4110.10,4108.60,4108.60,27,17,44,10.00,14.00,1.00,0.90,77.8,0,0,0.4000,0.3333,22.00,6.00,4103.05,0.8706,UP,102.00,0.4314,1.0190
20260803 220000 754,4108.60,1,4107.80,4109.70,1.90,4107.80,6,4107.70,5,4107.40,2,4107.30,3,4107.20,5,4107.10,5,4107.00,1,4106.90,5,4106.80,1,4106.50,1,4109.70,4,4109.80,1,4109.90,1,4110.00,1,4110.10,1,4110.20,1,4110.30,1,4110.40,1,4110.50,2,4110.70,1,Sell,7,5,12,2.00,4.00,2.00,1.50,66.7,4109.60,4110.10,4108.60,4108.60,27,17,44,10.00,14.00,1.00,0.90,77.8,0,0,0.4000,1.0000,21.00,5.00,4103.05,0.8706,UP,102.00,0.4314,1.0190
20260803 220000 754,4108.60,1,4107.80,4109.70,1.90,4107.80,6,4107.70,5,4107.40,2,4107.30,3,4107.20,5,4107.10,5,4107.00,1,4106.90,5,4106.80,1,4106.50,1,4109.70,4,4109.80,1,4109.90,1,4110.00,1,4110.10,1,4110.20,1,4110.30,1,4110.40,1,4110.50,2,4110.70,1,Sell,7,6,13,1.00,4.00,1.00,1.50,66.7,4109.60,4110.10,4108.60,4108.60,27,17,44,10.00,14.00,1.00,0.90,77.8,0,0,0.4000,3.0000,20.00,4.00,4103.05,0.8706,UP,102.00,0.4314,1.0190
20260803 220000 754,4108.10,1,4107.80,4109.70,1.90,4107.80,6,4107.70,5,4107.40,2,4107.30,3,4107.20,5,4107.10,5,4107.00,1,4106.90,5,4106.80,1,4106.50,1,4109.70,4,4109.80,1,4109.90,1,4110.00,1,4110.10,1,4110.20,1,4110.30,1,4110.40,1,4110.50,2,4110.70,1,Sell,7,7,14,0.00,4.00,0.00,2.00,75.0,4109.60,4110.10,4108.10,4108.10,27,17,44,10.00,14.00,1.00,0.90,77.8,0,0,0.4000,4.0000,19.00,3.00,4103.00,0.8547,UP,102.00,0.4314,1.0547
