Timestamp,Last,Volume,Bid,Ask,Spread,BidPrice1,BidQty1,BidPrice2,BidQty2,BidPrice3,BidQty3,BidPrice4,BidQty4,BidPrice5,BidQty5,BidPrice6,BidQty6,BidPrice7,BidQty7,BidPrice8,BidQty8,BidPrice9,BidQty9,BidPrice10,BidQty10,AskPrice1,AskQty1,AskPrice2,AskQty2,AskPrice3,AskQty3,AskPrice4,AskQty4,AskPrice5,AskQty5,AskPrice6,AskQty6,AskPrice7,AskQty7,AskPrice8,AskQty8,AskPrice9,AskQty9,AskPrice10,AskQty10,Aggressor,CurBarBuyVol,CurBarSellVol,CurBarTotalVol,CurBarDelta,CurBarMaxSeen,CurBarMinSeen,CurBarRange,CurBarBodyPct,CurBarOpen,CurBarHigh,CurBarLow,CurBarClose,PrevBarBuyVol,PrevBarSellVol,PrevBarTotalVol,PrevBarDelta,PrevBarMaxSeen,PrevBarMinSeen,PrevBarRange,PrevBarBodyPct,PrevBar30sAggDelta,PrevBar30sTradeCount,PrevBarAbsorbRatio,IntraAbsorbRatio,CumDelta5Bars,CumDelta10Bars,HTFEmaValue,HTFEmaSlope,HTFEmaDir,H2_HourlyVolBaseline,H2_PrevBarVolMultiple,ATRValue
20260917 071256 587,4357.70,1,4357.70,4357.90,0.20,4357.70,4,4357.60,7,4357.50,6,4357.40,6,4357.30,5,4357.20,14,4357.10,12,4357.00,15,4356.90,13,4356.80,15,4357.90,2,4358.00,4,4358.10,4,4358.20,5,4358.30,4,4358.40,7,4358.50,13,4358.60,13,4358.70,10,4358.80,12,Sell,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 071257 399,4357.90,1,4357.70,4357.90,0.20,4357.70,5,4357.60,7,4357.50,6,4357.40,6,4357.30,5,4357.20,14,4357.10,12,4357.00,15,4356.90,13,4356.80,15,4358.00,4,4358.10,4,4358.20,5,4358.30,4,4358.40,7,4358.50,13,4358.60,13,4358.70,10,4358.80,12,4358.90,12,Buy,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 071257 513,4357.70,1,4357.70,4358.00,0.30,4357.70,4,4357.60,7,4357.50,6,4357.40,6,4357.30,5,4357.20,14,4357.10,12,4357.00,15,4356.90,13,4356.80,15,4358.00,4,4358.10,4,4358.20,5,4358.30,4,4358.40,7,4358.50,13,4358.60,13,4358.70,10,4358.80,12,4358.90,12,Sell,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 071257 749,4357.70,1,4357.70,4357.90,0.20,4357.70,2,4357.60,8,4357.50,6,4357.40,6,4357.30,5,4357.20,14,4357.10,12,4357.00,15,4356.90,13,4356.80,15,4357.90,3,4358.00,4,4358.10,4,4358.20,5,4358.30,4,4358.40,7,4358.50,13,4358.60,13,4358.70,10,4358.80,12,Sell,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 071257 803,4357.70,1,4357.70,4357.90,0.20,4357.70,4,4357.60,8,4357.50,6,4357.40,6,4357.30,5,4357.20,14,4357.10,12,4357.00,15,4356.90,13,4356.80,15,4357.90,2,4358.00,4,4358.10,4,4358.20,5,4358.30,4,4358.40,7,4358.50,13,4358.60,13,4358.70,10,4358.80,12,Sell,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 071258 848,4357.90,1,4357.80,4358.00,0.20,4357.80,5,4357.70,5,4357.60,8,4357.50,6,4357.40,6,4357.30,6,4357.20,14,4357.10,12,4357.00,15,4356.90,13,4358.00,1,4358.10,4,4358.20,5,4358.30,4,4358.40,7,4358.50,13,4358.60,13,4358.70,10,4358.80,12,4358.90,12,Sell,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 071259 343,4357.80,1,4357.80,4358.00,0.20,4357.70,5,4357.60,8,4357.50,6,4357.40,6,4357.30,6,4357.20,14,4357.10,12,4357.00,14,4356.90,13,4356.80,15,4358.00,3,4358.10,4,4358.20,5,4358.30,4,4358.40,7,4358.50,13,4358.60,13,4358.70,11,4358.80,12,4358.90,12,Sell,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 071259 343,4357.70,1,4357.80,4358.00,0.20,4357.70,5,4357.60,8,4357.50,6,4357.40,6,4357.30,6,4357.20,14,4357.10,12,4357.00,14,4356.90,13,4356.80,15,4358.00,3,4358.10,4,4358.20,5,4358.30,4,4358.40,7,4358.50,13,4358.60,13,4358.70,11,4358.80,12,4358.90,12,Sell,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 071259 685,4357.70,1,4357.60,4357.80,0.20,4357.60,3,4357.50,4,4357.40,6,4357.30,6,4357.20,6,4357.10,12,4357.00,14,4356.90,13,4356.80,15,4356.70,12,4357.80,2,4357.90,5,4358.00,5,4358.10,5,4358.20,6,4358.30,4,4358.40,7,4358.50,13,4358.60,15,4358.70,11,Sell,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 071300 039,4357.80,1,4357.90,4358.10,0.20,4357.90,3,4357.80,6,4357.70,6,4357.60,7,4357.50,5,4357.40,6,4357.30,6,4357.20,14,4357.10,12,4357.00,14,4358.10,4,4358.20,6,4358.30,4,4358.40,7,4358.50,13,4358.60,15,4358.70,11,4358.80,12,4358.90,12,4359.00,13,Buy,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 071300 838,4358.20,1,4358.90,4359.10,0.20,4358.90,4,4358.80,5,4358.70,4,4358.60,7,4358.50,7,4358.40,16,4358.30,16,4358.20,10,4358.10,16,4358.00,18,4359.10,1,4359.20,5,4359.30,5,4359.40,6,4359.50,5,4359.60,13,4359.70,9,4359.80,11,4359.90,9,4360.00,12,Buy,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
