Timestamp,Last,Volume,Bid,Ask,Spread,BidPrice1,BidQty1,BidPrice2,BidQty2,BidPrice3,BidQty3,BidPrice4,BidQty4,BidPrice5,BidQty5,BidPrice6,BidQty6,BidPrice7,BidQty7,BidPrice8,BidQty8,BidPrice9,BidQty9,BidPrice10,BidQty10,AskPrice1,AskQty1,AskPrice2,AskQty2,AskPrice3,AskQty3,AskPrice4,AskQty4,AskPrice5,AskQty5,AskPrice6,AskQty6,AskPrice7,AskQty7,AskPrice8,AskQty8,AskPrice9,AskQty9,AskPrice10,AskQty10,Aggressor,CurBarBuyVol,CurBarSellVol,CurBarTotalVol,CurBarDelta,CurBarMaxSeen,CurBarMinSeen,CurBarRange,CurBarBodyPct,CurBarOpen,CurBarHigh,CurBarLow,CurBarClose,PrevBarBuyVol,PrevBarSellVol,PrevBarTotalVol,PrevBarDelta,PrevBarMaxSeen,PrevBarMinSeen,PrevBarRange,PrevBarBodyPct,PrevBar30sAggDelta,PrevBar30sTradeCount,PrevBarAbsorbRatio,IntraAbsorbRatio,CumDelta5Bars,CumDelta10Bars,HTFEmaValue,HTFEmaSlope,HTFEmaDir,H2_HourlyVolBaseline,H2_PrevBarVolMultiple,ATRValue
20260917 153857 430,4402.90,1,4402.70,4402.90,0.20,4402.70,1,4402.60,4,4402.50,4,4402.40,6,4402.30,6,4402.20,6,4402.10,4,4402.00,11,4401.90,8,4401.80,10,4402.90,3,4403.00,7,4403.10,4,4403.20,4,4403.30,14,4403.40,11,4403.50,13,4403.60,10,4403.70,11,4403.80,9,Buy,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 153857 731,4403.00,1,4402.70,4402.90,0.20,4402.70,4,4402.60,4,4402.50,4,4402.40,6,4402.30,6,4402.20,6,4402.10,4,4402.00,11,4401.90,8,4401.80,10,4402.90,1,4403.00,5,4403.10,4,4403.20,4,4403.30,6,4403.40,10,4403.50,16,4403.60,10,4403.70,12,4403.80,9,Buy,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 153858 135,4402.70,1,4402.70,4402.80,0.10,4402.70,3,4402.60,4,4402.50,4,4402.40,6,4402.30,6,4402.20,6,4402.10,4,4402.00,11,4401.90,8,4401.80,10,4402.90,3,4403.00,5,4403.10,4,4403.20,4,4403.30,6,4403.40,10,4403.50,16,4403.60,10,4403.70,12,4403.80,9,Sell,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 153858 570,4402.70,1,4403.00,4403.30,0.30,4403.00,4,4402.90,6,4402.80,3,4402.70,7,4402.60,6,4402.50,8,4402.40,4,4402.30,11,4402.20,11,4402.10,9,4403.30,4,4403.40,6,4403.50,8,4403.60,4,4403.70,15,4403.80,12,4403.90,13,4404.00,10,4404.10,9,4404.20,9,Buy,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 153858 572,4402.80,1,4403.00,4403.30,0.30,4403.00,4,4402.90,6,4402.80,3,4402.70,7,4402.60,6,4402.50,8,4402.40,4,4402.30,11,4402.20,11,4402.10,9,4403.30,4,4403.40,6,4403.50,8,4403.60,4,4403.70,15,4403.80,12,4403.90,13,4404.00,10,4404.10,9,4404.20,9,Buy,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 153858 574,4402.90,1,4403.00,4403.30,0.30,4403.00,4,4402.90,6,4402.80,3,4402.70,7,4402.60,6,4402.50,8,4402.40,4,4402.30,11,4402.20,11,4402.10,9,4403.30,4,4403.40,6,4403.50,8,4403.60,4,4403.70,15,4403.80,12,4403.90,13,4404.00,10,4404.10,9,4404.20,9,Buy,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 153858 578,4403.20,1,4403.00,4403.30,0.30,4403.00,4,4402.90,6,4402.80,3,4402.70,7,4402.60,6,4402.50,8,4402.40,4,4402.30,11,4402.20,11,4402.10,9,4403.30,4,4403.40,6,4403.50,8,4403.60,4,4403.70,15,4403.80,12,4403.90,13,4404.00,10,4404.10,9,4404.20,9,Buy,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 153858 578,4403.30,1,4403.00,4403.30,0.30,4403.00,4,4402.90,6,4402.80,3,4402.70,7,4402.60,6,4402.50,8,4402.40,4,4402.30,11,4402.20,11,4402.10,9,4403.30,4,4403.40,6,4403.50,8,4403.60,4,4403.70,15,4403.80,12,4403.90,13,4404.00,10,4404.10,9,4404.20,9,Buy,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 153858 578,4403.40,1,4403.00,4403.30,0.30,4403.00,4,4402.90,6,4402.80,3,4402.70,7,4402.60,6,4402.50,8,4402.40,4,4402.30,11,4402.20,11,4402.10,9,4403.30,4,4403.40,6,4403.50,8,4403.60,4,4403.70,15,4403.80,12,4403.90,13,4404.00,10,4404.10,9,4404.20,9,Buy,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 153858 578,4403.50,1,4403.00,4403.30,0.30,4403.00,4,4402.90,6,4402.80,3,4402.70,7,4402.60,6,4402.50,8,4402.40,4,4402.30,11,4402.20,11,4402.10,9,4403.30,4,4403.40,6,4403.50,8,4403.60,4,4403.70,15,4403.80,12,4403.90,13,4404.00,10,4404.10,9,4404.20,9,Buy,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 153858 580,4403.00,1,4403.00,4403.30,0.30,4403.00,4,4402.90,6,4402.80,3,4402.70,7,4402.60,6,4402.50,8,4402.40,4,4402.30,11,4402.20,11,4402.10,9,4403.30,4,4403.40,6,4403.50,8,4403.60,4,4403.70,15,4403.80,12,4403.90,13,4404.00,10,4404.10,9,4404.20,9,Buy,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 153858 582,4403.10,1,4403.00,4403.30,0.30,4403.00,4,4402.90,6,4402.80,3,4402.70,7,4402.60,6,4402.50,8,4402.40,4,4402.30,11,4402.20,11,4402.10,9,4403.30,4,4403.40,6,4403.50,8,4403.60,4,4403.70,15,4403.80,12,4403.90,13,4404.00,10,4404.10,9,4404.20,9,Buy,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 153858 584,4403.10,1,4403.00,4403.30,0.30,4403.00,4,4402.90,6,4402.80,3,4402.70,7,4402.60,6,4402.50,8,4402.40,4,4402.30,11,4402.20,11,4402.10,9,4403.30,4,4403.40,6,4403.50,8,4403.60,4,4403.70,15,4403.80,12,4403.90,13,4404.00,10,4404.10,9,4404.20,9,Buy,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
20260917 153858 585,4403.10,1,4403.00,4403.30,0.30,4403.00,4,4402.90,6,4402.80,3,4402.70,7,4402.60,6,4402.50,8,4402.40,4,4402.30,11,4402.20,11,4402.10,9,4403.30,4,4403.40,6,4403.50,8,4403.60,4,4403.70,15,4403.80,12,4403.90,13,4404.00,10,4404.10,9,4404.20,9,Sell,60,64,124,-4.00,39.00,-4.00,1.80,27.8,4302.70,4303.40,4301.60,4302.20,34,27,61,7.00,13.00,-10.00,0.70,0.0,0,0,0.8571,0.0000,-11.00,-285.00,4333.07,-3.7225,DOWN,89.05,0.6850,1.6971
